id	text	buttons	intents	sounds	image
14	Понятно) А почему тогда решила зарегистрироваться здесь?	[('Пообщаться с новыми людьми', 15, True), ('Сказала же, не знаю', 29, True)]			
15	Тааак, и все?)	[('Возможно, повезет найти любовь', 16, True)]			
16	Выбери действие:	[('Задать вопрос', 17, True), ('Ждать ответ', 29, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
17	Выбери, какой вопрос задать:	[('А ты тут какими судьбами?)', 18, True), ('Видела, ты был на выставке?', 25, True)]			
18	Мы с тобой идеально сошлись по целям) Я в поисках девушки для долгосрочных отношений. Расскажешь, что для тебя важно в мужчинах?	[('Умение заботиться о девушке', 19, True), ('Главное, чтоб был обеспеченный', 24, True)]			
19	Это я умею)	[('А также дарят приятные эмоции)', 20, True)]			
20	Я люблю радовать дорогих мне людей. Думаю, при встрече со мной ты это поймешь) Кстати, что думаешь насчет свидания в субботу в 13?	[('Идея отличная', 21, True), ('Свидание? У меня много дел...', 24, True)]			
21	Предложи место встречи:	[('Давай в кафе Вкусняшкино)', 22, True)]			
22	Да, хороший выбор) Договорились	[('Супер) До встречи!', 23, True)]			
23	Поздравляем, ты на свидании!	[('Начать свидание', 34, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
24	Алексей счел ваш ответ странным с учетом заявленных тобой целей. Он настроен серьезно на поиск отношений, поэтому решил прекратить общение.	[('Попробовать еще раз с Алексеем', 13, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
25	А ты внимательная. Да, у меня здесь есть фотография с фотовыставки)	[('Ты увлекаешься искусством?', 26, True)]			
26	Да, в свободное время я люблю фотографировать. Решил сходить на выставку с друзьями и вдохновиться) Что насчет тебя?	[('Хожу на модные выставки иногда', 27, True), ('Люблю исторические выставки', 27, True)]			
27	Ух ты, это интересно!	[('Может сходим как-нибудь вместе', 28, True)]			
28	Было бы здорово) Но сначала предлагаю устроить свидание в более располагающей для общения обстановке. что думаешь насчет свидания в субботу в 13?	[('Идея отличная', 21, True), ('Свидание? У меня много дел...', 24, True)]			
29	Понятненько. Кстати, как ты относишься к искусству?	[('Хожу на модные выставки иногда', 27, True), ('Люблю исторические выставки', 27, True), ('Нормально', 30, True)]			
30	Расскажешь подробнее?) Какое именно искусство любишь?	[('Мне лень', 24, True), ('Я обожаю сферу моды)', 31, True), ('Очень люблю историю)', 31, True)]			
31	Мне нравятся девушки, которые интересуются и увлечены чем-то	[('Видела, ты был на выставке?', 25, True)]			
32	А ты внимательная. Да, у меня здесь есть фотография с фотовыставки) В свободное время я люблю фотографировать. Вот хожу, вдохновляюсь. Кстати, что думаешь насчет свидания в субботу в 13?	[('Идея отличная', 21, True), ('Свидание? У меня много дел...', 24, True)]			
33	Выбери действие:	[('Задать вопрос', 17, True), ('Ждать ответ', 29, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
34	Привет, отлично выглядишь. Как твои дела?	[('Спасибо! Неплохо', 35, True), ('Вообще-то плохо', 95, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/da6e73c3-6f2e-4dad-8331-ed61300d5263.opus'>	
35	Выбери действие:	[('Задать вопрос', 36, True), ('Промолчать', 72, True)]			
36	Задай вопрос:	[('А ты как? Выглядишь довольным', 37, True)]			
37	Да, потому что у меня свидание с прекрасной девушкой. День тоже был неплохой)	[('И я рада! Что делал?', 38, True)]			
38	Хорошо) Я сегодня ходил на премьеру приквела 'Голодных игр'. Ты смотрела?	[('Нет', 39, True)]			
39	Выбери действие:	[('Задать вопрос', 40, True), ('Промолчать', 58, True)]			
40	Задай вопрос:	[('А тебе как кино? Думаю сходить', 41, True)]			
41	Мне очень понравился. Не ожидал такого сюжета, конечно. Но тем и интереснее было	[('Какое еще кино тебе нравится?', 42, True)]			
42	Обожаю комедии и боевики. Самый любимый фильм — это 'Шоу Трумана'. Что насчет тебя?	[('А мой любимый — Гарри Поттер!', 43, True), ('По-моему, дурацкий фильм', 55, True)]			
43	Дааа, Гарри Поттер имеет свою волшебную атмосферу. Очень хорошая серия фильмов	[('Узнать результаты свидания', 44, True)]			
44	Вы пообщались еще полчаса, но потом тебе нужно было идти. И у тебя, и у Алексея остались самые приятные эмоции о вашей встрече.	[('Выбрать спутником жизни', 45, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
45	Поздравляем, Алексей тоже выбрал тебя	[('Уже 2 месяца в отношениях...', 46, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
46	Вы в отношениях уже 2 месяца. У вас все отлично. Вы прислушиваетесь друг к другу, идете на компромиссы, если это необходимо. У вас здоровые отношения. Ты счастлива с этим мужчиной и благодарна, что однажды зашла на сайт знакомств.	[('Оставаться в отношениях', 47, True), ('Расстаться с Алексеем', 51, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/04c38ed3-779f-43bc-9b38-8bff19760a05.opus'>	
47	Узнать характеристику героя?	[('Да', 48, True), ('Нет', 50, True)]			
48	У Алексея надежный тип привязанности. В детстве родители ответственно относились к воспитанию такого ребенка, учитывали его желания, эмоции, давали поддержку тогда, когда это необходимо. Также к надежному типу можно придти со временем. Например, после сессий с психологом.	[('Больше про надежный тип', 49, True)]			
49	С такими партнерами в отношениях не нужно постоянно доказывать свою любовь. Они не пытаются закрывать свои потребности за счет других людей, поэтому также не сближаются с людьми, которые хотят построить отношения на основе выгоды. Люди с надежным типом привязанности - единственные полноценные партнеры.	[('Выйти с сайта знакомств', 0, True), ('Попробовать еще раз с Алексеем', 13, True)]			
50	Выбери действие:	[('Выйти с сайта знакомств', 0, True), ('Попробовать еще раз с Алексеем', 13, True)]			
51	Узнать характеристику героя?	[('Да', 52, True), ('Нет', 54, True)]			
52	У Алексея надежный тип привязанности. В детстве родители ответственно относились к воспитанию такого ребенка, учитывали его желания, эмоции, давали поддержку тогда, когда это необходимо. Также к надежному типу можно придти со временем. Например, после сессий с психологом.	[('Больше про надежный тип', 53, True)]			
53	С такими партнерами в отношениях не нужно постоянно доказывать свою любовь. Они не пытаются закрывать свои потребности за счет других людей, поэтому также не сближаются с людьми, которые хотят построить отношения на основе выгоды. Люди с надежным типом привязанности - единственные полноценные партнеры.	[('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True), ('Попробовать еще раз с Алексеем', 13, True)]			
54	Выбери действие:	[('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True), ('Попробовать еще раз с Алексеем', 13, True)]			
55	Ну... о вкусах не спорят. Давай лучше в следующий раз без таких комментариев	[('Узнать результаты свидания', 56, True)]			
56	Вы пообщались еще полчаса, но потом тебе нужно было идти. У Алексея остались приятные впечатления о тебе. Смутил только факт оскорбления его интересов. Из-за  того, что и до, и после этого у вас была очень приятная беседа, ты проявляла интерес, это не сыграло для него решающей роли. Но он надеется, что больше такого не произойдет.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
57	К сожалению, Алексей еще не готов к отношениям с тобой	[('Выйти с сайта знакомств', 0, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
58	А когда вообще была в кино последний раз и на каком фильме?	[('Не помню', 59, True), ('Не помню, что-то о любви', 59, True)]			
59	Выбери действие:	[('Задать вопрос', 60, True), ('Промолчать', 67, True)]			
60	Задай вопрос:	[('Какое кино тебе нравится?', 61, True)]			
61	Почему именно это решила спросить?)	[('Интересно, совпадают ли вкусы', 62, True)]			
62	Обожаю комедии и боевики. Самый любимый фильм — это 'Шоу Трумана'. Что насчет тебя?	[('А мой любимый —  Гарри Поттер!', 63, True), ('По-моему, дурацкий фильм', 65, True)]			
63	Дааа, Гарри Поттер имеет свою волшебную атмосферу. Очень хорошая серия фильмов	[('Узнать результаты свидания', 64, True)]			
64	Вы пообщались еще полчаса, но потом тебе нужно было идти. И у тебя, и у Алексея остались самые приятные эмоции о вашей встрече.	[('Выбрать спутником жизни', 45, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
65	Ну... о вкусах не спорят. Давай лучше в следующий раз без таких комментариев	[('Узнать результаты свидания', 66, True)]			
66	Вы пообщались еще полчаса, но потом тебе нужно было идти. У Алексея остались приятные впечатления о тебе. Смутил только факт оскорбления его интересов. Из-за того, что и до, и после этого у вас была очень приятная беседа, ты проявляла интерес, это не сыграло для него решающей роли. Но он надеется, что больше такого не произойдет	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
67	Обычно я предпочитаю другие фильмы: комедии и боевики. Самый любимый фильм — это 'Шоу Трумана'. Что насчет тебя?	[('А мой любимый —  Гарри Поттер!', 68, True), ('По-моему, дурацкий фильм', 70, True)]			
68	Дааа, Гарри Поттер имеет свою волшебную атмосферу. Очень хорошая серия фильмов	[('Узнать результаты свидания', 69, True)]			
69	Вы пообщались еще полчаса, но потом тебе нужно было идти. В целом Алексея остались приятные впечатления о тебе, но не об этой встрече. Смутил  факт того, что ты была не особо активна в общении. Ему казалось, что ты не заинтересована во встрече. Из-за того, что перед этим у вас была очень хорошая переписка, Алексей пока думает, хочет ли он продолжать общение. У него есть мысли, что ты еще не раскрепостилась в общении с ним, и нужно время.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
70	Ну... о вкусах не спорят. Давай лучше в следующий раз без таких комментариев	[('Узнать результаты свидания', 71, True)]			
71	Вы пообщались еще полчаса, но потом тебе нужно было идти. У Алексея остались не очень приятные впечатления о тебе. Смутил факт оскорбления его интересов и не особая активность в общении. Скорее всего он тебе больше не напишет.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
72	Я сегодня ходил на премьеру приквела 'Голодных игр'. Ты смотрела?	[('Нет', 73, True)]			
73	Выбери действие:	[('Задать вопрос', 74, True), ('Промолчать', 81, True)]			
74	Задай вопрос:	[('А тебе как кино? Думаю сходить', 75, True)]			
75	Мне очень понравился. Не ожидал такого сюжета, конечно. Но тем и интереснее было	[('Какое еще кино тебе нравится?', 76, True)]			
76	Обожаю комедии и боевики. Самый любимый фильм — это 'Шоу Трумана'. Что насчет тебя?	[('А мой любимый —  Гарри Поттер!', 77, True), ('По-моему, дурацкий фильм', 79, True)]			
77	Дааа, Гарри Поттер имеет свою волшебную атмосферу. Очень хорошая серия фильмов	[('Узнать результаты свидания', 78, True)]			
78	Вы пообщались еще полчаса, но потом тебе нужно было идти. И у тебя, и у Алексея остались самые приятные эмоции о вашей встрече.	[('Выбрать спутником жизни', 45, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
79	Ну... о вкусах не спорят. Давай лучше в следующий раз без таких комментариев	[('Узнать результаты свидания', 80, True)]			
80	Вы пообщались еще полчаса, но потом тебе нужно было идти. У Алексея остались приятные впечатления о тебе. Смутил только факт оскорбления его интересов. Из-за  того, что и до, и после этого у вас была очень приятная беседа, ты проявляла интерес, это не сыграло для него решающей роли. Но он надеется, что больше такого не произойдет.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
81	А когда вообще была в кино последний раз и на каком фильме?	[('Не помню', 82, True), ('Не помню, что-то о любви', 82, True)]			
82	Выбери действие:	[('Задать вопрос', 83, True), ('Промолчать', 90, True)]			
83	Задай вопрос:	[('Какое кино тебе нравится?', 84, True)]			
84	Почему именно это решила спросить?)	[('Интересно, совпадают ли вкусы', 85, True)]			
85	Обожаю комедии и боевики. Самый любимый фильм — это 'Шоу Трумана'. Что насчет тебя?	[('А мой любимый — Гарри Поттер!', 86, True), ('По-моему, дурацкий фильм', 88, True)]			
86	Дааа, Гарри Поттер имеет свою волшебную атмосферу. Очень хорошая серия фильмов	[('Узнать результаты свидания', 87, True)]			
87	Вы пообщались еще полчаса, но потом тебе нужно было идти. В целом Алексея остались приятные впечатления о тебе, но не об этой встрече. Смутил  факт того, что ты была не особо активна в общении. Ему казалось, что ты не заинтересована во встрече. Из-за того, что перед этим у вас была очень хорошая переписка, Алексей пока думает, хочет ли он продолжать общение. У него есть мысли, что ты еще не раскрепостилась в общении с ним, и нужно время.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
88	Ну... о вкусах не спорят. Давай лучше в следующий раз без таких комментариев	[('Узнать результаты свидания', 89, True)]			
89	Вы пообщались еще полчаса, но потом тебе нужно было идти. У Алексея остались не очень приятные впечатления о тебе. Смутил факт оскорбления его интересов и не особая активность в общении. Скорее всего он тебе больше не напишет.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
90	Обычно я предпочитаю другие фильмы: комедии и боевики. Самый любимый фильм — это 'Шоу Трумана'. Что насчет тебя?	[('А мой любимый — Гарри Поттер!', 91, True), ('По-моему, дурацкий фильм', 93, True)]			
91	Дааа, Гарри Поттер имеет свою волшебную атмосферу. Очень хорошая серия фильмов	[('Узнать результаты свидания', 92, True)]			
92	Вы пообщались еще полчаса, но потом тебе нужно было идти. В целом Алексея остались приятные впечатления о тебе, но не об этой встрече. Смутил  факт того, что ты была неактивна в общении. Ему казалось, что ты не заинтересована во встрече. Он думает, что не понравился тебе. Алексей пока думает, хочет ли он продолжать общение.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
93	Ну... о вкусах не спорят. Давай лучше в следующий раз без таких комментариев	[('Узнать результаты свидания', 94, True)]			
94	Вы пообщались еще полчаса, но потом тебе нужно было идти. У Алексея остались не очень приятные впечатления о тебе. Смутил факт оскорбления его интересов и неактивность в общении. Он точно тебе больше не напишет.	[('Выбрать спутником жизни', 57, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Алексеем', 13, True)]			
95	Выбери действие:	[('Задать вопрос', 96, True), ('Промолчать', 104, True), ('Рассказать о своих проблемах', 105, True)]			
96	Задай вопрос:	[('А ты как? Выглядишь довольным', 97, True)]			
97	Да, потому что у меня свидание с прекрасной девушкой. День был неплохой) У тебя что-то случилось?	[('Не лучший день, но все окей)', 98, True), ('Везде проблемы — семья, работа', 100, True)]			
98	Я понимаю тебя, тоже такое бывает	[('Давай насладимся свиданием)', 99, True)]			
99	Хорошо. Я сегодня ходил на премьеру приквела 'Голодных игр'. Ты смотрела?	[('Нет', 39, True)]			
100	Продолжить жаловаться:	[('Я так устала, не представляешь', 101, True)]			
101	Мне жаль, что так вышло. Я могу чем-то помочь?	[('Да, материально', 102, True), ('Да, устрой к себе в компанию)', 102, True), ('Давай насладимся свиданием)', 99, True)]			
102	Знаешь, я не думаю, что я готов об этом говорить на первом свидании. Я, наверное, пойду	[('Узнать результаты свидания', 103, True)]			
103	У Алексея сложилось о тебе странное впечатление. Он не готов давать такую поддержку на первом свидании. Он решил прекратить общение с тобой.	[('Попробовать еще раз с Алексеем', 13, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
104	У тебя что-то случилось?	[('Не лучший день, но все окей)', 98, True), ('Везде проблемы — семья, работа', 100, True)]			
105	Начать рассказ:	[('Везде проблемы — семья, работа', 100, True)]			
106	Привет! Классно выглядишь)	[('Привет! Спасибо)', 107, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/ceab53b7-64ce-4469-b3b9-b271d1928815.opus'>	
107	Выбери действие:	[('Задать вопрос', 108, True), ('Ждать ответ', 120, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
108	Выбери, какой вопрос задать:	[('Расскажешь подробнее о работе?', 109, True), ('Какие у тебя хобби?', 118, True)]			
109	Слушай, да я космонавт, в рейсе сейчас)) Шучу) Рано мне еще в космос, пока столько не заработал. Сейчас отдыхаю в Сочи	[('Хм, интересно...', 110, True)]			
110	Выбери действие:	[('Задать вопрос', 111, True), ('Ждать ответ', 114, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
111	Задай вопрос:	[('Как часто отдыхаешь?', 112, True)]			
112	Отдых надо заслужить, поэтому не часто	[('Ну отдых не надо заслуживать', 113, True), ('В целом, согласна', 114, True)]			
113	Марк подумал, что у вас слишком разные взгляды и решил прекратить общение.	[('Попробовать еще раз с Марком', 106, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
114	Скоро уже приезжаю. Давай встретимся в выходные за чашечкой кофе?	[('Нет, я на стороне чая))', 115, True), ('Классная идея, давай!', 116, True)]			
115	Марк посчитал твой юмор странным и не уместным, поэтому решил прекратить общение.	[('Попробовать еще раз с Марком', 106, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
116	Тогда встречаемся в субботу в 14 часов в кафе 'Кофеюшечная'	[('Хорошо, до встречи!', 117, True)]			
117	Поздравляем, ты на свидании!	[('Начать свидание', 129, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
118	Люблю кататься на сноуборде. Есть свой онлайн-магазин по этой тематике. А у тебя?	[('Я люблю рисовать', 119, True), ('Я люблю устраивать киновечера', 119, True), ('Я люблю заниматься спортом', 119, True)]			
119	И есть ли от этого доход?	[('Да, есть, конечно', 114, True), ('Нет, это же хобби', 113, True)]			
120	Чем занимаешься в свободное время от работы?	[('Учу английский и леплю из глины', 121, True), ('Смотрю сериалы и фильмы', 125, True)]			
121	Продолжить:	[('Есть магазинчик в соц сетях', 122, True)]			
122	Молодец! Вообще считаю, что хобби должно приносить доход. А иначе зачем им заниматься?	[('Задать вопрос', 123, True), ('Ждать ответ', 114, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
123	Выбери, какой вопрос задать:	[('А ты чем занимаешься в свободное время?', 124, True), ('Расскажешь подробнее о работе?', 109, True)]			
124	Люблю кататься на сноуборде. Есть свой онлайн-магазин по этой тематике. Скоро уже приезжаю. Давай встретимся в выходные за чашечкой кофе?	[('Нет, я на стороне чая))', 115, True), ('Классная идея, давай!', 116, True)]			
125	Может посмотрим вместе, расслабимся?	[('Хочешь пригласить в гости?', 126, True), ('Давай, с радостью отдохну)', 127, True)]			
126	Да, у меня очень уютно. Тебе понравится	[('Давай сначала познакомимся', 338, True), ('Уютно... Тогда давай)', 127, True)]			
127	Супер, тогда до выходных. Скинешь потом свой адрес? Я вызову тебе такси	[('Да, оки)', 128, True)]			
128	Поздравляем, ты на свидании!	[('Начать свидание', 131, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
129	Привет! Я на месте. Ты где? Уже 14:03	[('Привет, скоро буду', 130, True)]			
130	Вы встретились в кафе...	[('Узнать, что будет дальше', 133, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/cd67e03f-0572-4cc2-ad3b-20004fad4e89.opus'>	
131	Задай вопрос:	[('Привет! Я у дома. Откроешь?', 132, True)]			
132	Привет) Сейчас открою	[('Зайти в квартиру', 134, True)]			
133	Я заказал нам капучино на кокосовом	[('Почему не обычное молоко?)', 137, True), ('Спасибо, но я хотела другой', 138, True), ('Спасибо, это мой любимый)', 139, True)]			
134	Как я рад, что ты пришла. Заходи, пожалуйста)	[('Я тоже рада тебя видеть)', 135, True)]			
135	Марк закрывает входную дверь и внезапно начинает к тебе приставать.	[('Узнать, что будет дальше', 136, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/06a7712a-6542-4aff-bee2-4c2536d4fdf5.opus'>	
136	Ты попросила принести стакан воды. И пока Марк отошел, успела выбежать из квартиры.	[('Почему так произошло?', 140, True)]			
137	Оно вредное для здоровья. Я пью только альтернативное молоко и тебе советую	[('Окей. Как отдохнул в Сочи?', 141, True), ('Окей. Как твои выходные?', 142, True)]			
138	Эм, ну ладно. Просто хотел проявить знак внимания	[('Окей. Как отдохнул в Сочи?', 141, True), ('Окей. Как твои выходные?', 142, True)]			
139	Я рад, что у нас похожие вкусы) Как прошли выходные?	[('Прекрасно) Ходила на йогу', 143, True), ('Смотрела сериальчики', 144, True)]			
140	После встречи Марк тебе написал и все объяснил. Он очень много работает и решил зайти на сайт знакомств, чтобы просто развлечься.	[('Попробовать еще раз с Марком', 106, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True), ('Продолжить встречаться с Марком', 145, True)]			
141	Да я особо не отдыхал. По своему хобби туда ездил. Закупал новые сноуборды для своего магазина	[('Понятно', 146, True)]			
142	Какие? Хахх. У меня обычно не бывает выходных. Считаю, что каждый день нужно проводить с пользой. Жизнь и так короткая, зачем тратить время на отдых?	[('Окей, это твое мнение', 146, True)]			
143	Да, йога — это супер. Хотя я больше за спорт)	[('Здорово!', 146, True)]			
144	Это же пустая трата времени. Считаю, что нужно заниматься только тем, что тебе реально приносит пользу	[('Окей, это твое мнение', 146, True)]			
145	Поздравляем, Марк тоже выбрал тебя.	[('Уже 2 месяца в отношениях...', 149, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
146	Рассказывай, кем работаешь?	[('У меня свой салон красоты', 150, True), ('Модным фотографом', 151, True), ('Пока думаю над направлением', 147, True)]			
147	И как долго ты не работаешь?	[('4 месяца', 148, True)]			
148	Ого, так долго. Можно же уже было определиться. Просто уйти в смежное направление, если не хочешь продолжать заниматься тем же. Ты не думаешь, что ты просто постоянно откладываешь этот вопрос?	[('Да, уже думала об этом', 152, True), ('Нет. Мне важно все обдумать', 153, True)]			
149	Раз в неделю вы видитесь у него дома. Смотрите фильмы, обнимаетесь и просто наслаждаетесь моментом. Марк не планирует переходить к серьезным отношениям.	[('Оставаться в отношениях с Марком', 182, True), ('Расстаться с Марком', 179, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/04c38ed3-779f-43bc-9b38-8bff19760a05.opus'>	
150	Вау, круто!	[('Спасибо)', 154, True)]			
151	И много это денег приносит? По-моему, это не очень прибыльное дело	[('Много, конечно)', 154, True), ('Знаю, но меня устраивает', 154, True), ('Зачем тебе это знать?)', 155, True)]			
152	Не понимаю, как может ничего не хотеться. Для меня всегда было важно все время чем-то заниматься и двигаться вперед. Мне наоборот страшно остановиться	[('Вау, хотела бы быть как ты!', 156, True), ('У меня другое видение этого', 157, True)]			
